year,city,country,avg_temp,
1991,Singapore,Singapore,26.99,26.995
1992,Singapore,Singapore,27,26.9775
1993,Singapore,Singapore,26.93,27.0125
1994,Singapore,Singapore,27.09,27.0025
1995,Singapore,Singapore,27.07,27.0225
1996,Singapore,Singapore,27.04,27.0325
1997,Singapore,Singapore,27.39,27.1475
1998,Singapore,Singapore,27.78,27.32
1999,Singapore,Singapore,27.02,27.3075
2000,Singapore,Singapore,27.1,27.3225
2001,Singapore,Singapore,27.19,27.2725
2002,Singapore,Singapore,27.41,27.18
2003,Singapore,Singapore,27.31,27.2525
2004,Singapore,Singapore,27.33,27.31
2005,Singapore,Singapore,27.49,27.385
2006,Singapore,Singapore,27.33,27.365
2007,Singapore,Singapore,27.13,27.32
2008,Singapore,Singapore,27.07,27.255
2009,Singapore,Singapore,27.47,27.25
2010,Singapore,Singapore,27.6,27.3175
2011,Singapore,Singapore,27.28,27.355
2012,Singapore,Singapore,27.3,27.4125
2013,Singapore,Singapore,27.6,27.445
